Date,New cases,New deaths,New recovered
2020-03-31,875267,44510,174621
2020-06-30,9624794,463653,5106791
2020-09-30,23563533,506796,18253306
2020-12-31,49593997,809966,22980559
2021-03-31,45416660,991140,25613485
2021-06-30,23609484,383024,15958245
