,Date,Deaths
0,1/ 2020,703
1,1/ 2021,60790126
2,10/ 2020,32787675
3,11/ 2020,38557610
4,12/ 2020,49407234
5,2/ 2020,39610
6,2/ 2021,64971903
7,3/ 2020,389165
8,3/ 2021,80680136
9,4/ 2020,4262049
10,4/ 2021,87101748
11,5/ 2020,9382855
12,5/ 2021,6006931
13,6/ 2020,12450192
14,7/ 2020,16977843
15,8/ 2020,22577030
16,9/ 2020,26833047
