Country/Region,ObservationDate,SNo,Confirmed,Deaths,Recovered
Tanzania,2020-12-31,5592772,15779,651,5673
Tanzania,2021-01-31,6326487,15779,651,5673
Tanzania,2021-02-28,6345962,14252,588,5124
Tanzania,2021-03-31,7725479,15779,651,5673
Tanzania,2021-04-30,8176245,15270,630,5490
Tanzania,2021-05-31,8558161,14761,609,5307
Thailand,2020-01-31,2491,96,0,49
Thailand,2020-02-29,46410,933,0,439
Thailand,2020-03-31,196907,13480,72,1830
Thailand,2020-04-30,470547,77098,1181,47919
Thailand,2020-05-31,807710,93701,1730,88276
Thailand,2020-06-30,1299864,93991,1739,90037
Thailand,2020-07-31,2035221,100371,1798,95848
Thailand,2020-08-31,2750699,104473,1798,98900
Thailand,2020-09-30,3344655,104554,1752,99657
Thailand,2020-10-31,4162435,114072,1829,107920
Thailand,2020-11-30,4715369,116509,1796,111474
Thailand,2020-12-31,5592803,154099,1866,124251
Thailand,2021-01-31,6326518,380681,2171,256193
Thailand,2021-02-28,6345990,680096,2270,586593
Thailand,2021-03-31,7725510,847502,2741,814171
Thailand,2021-04-30,8176275,1243742,3442,806190
Thailand,2021-05-31,8558190,3013890,16712,779317
The Bahamas,2020-03-31,41906,3,0,0
The Gambia,2020-03-31,35665,1,0,0
Timor-Leste,2020-03-31,92723,10,0,0
Timor-Leste,2020-04-30,470577,365,0,50
Timor-Leste,2020-05-31,807741,744,0,684
Timor-Leste,2020-06-30,1299894,720,0,720
Timor-Leste,2020-07-31,2035252,744,0,744
Timor-Leste,2020-08-31,2750730,787,0,757
Timor-Leste,2020-09-30,3344685,812,0,779
Timor-Leste,2020-10-31,4162466,894,0,873
Timor-Leste,2020-11-30,4715399,900,0,887
Timor-Leste,2020-12-31,5592834,1054,0,954
Timor-Leste,2021-01-31,6326549,1705,0,1402
Timor-Leste,2021-02-28,6346018,2678,0,1959
Timor-Leste,2021-03-31,7725541,8190,0,3612
Timor-Leste,2021-04-30,8176305,38592,52,18278
Timor-Leste,2021-05-31,8558219,125601,247,67410
Togo,2020-03-31,183316,278,5,19
Togo,2020-04-30,470607,2313,133,1204
Togo,2020-05-31,807772,8434,346,3615
Togo,2020-06-30,1299924,16202,397,9552
Togo,2020-07-31,2035283,23804,487,16429
Togo,2020-08-31,2750761,36091,776,25609
Togo,2020-09-30,3344715,48078,1165,36344
Togo,2020-10-31,4162497,63293,1577,46688
Togo,2020-11-30,4715429,80374,1824,60135
Togo,2020-12-31,5592865,102862,2054,90442
Togo,2021-01-31,6326580,132772,2264,117347
Togo,2021-02-28,6346046,166043,2257,139201
Togo,2021-03-31,7725572,262504,3031,213240
Togo,2021-04-30,8176335,364486,3524,290545
Togo,2021-05-31,8558248,383848,3610,344985
Trinidad and Tobago,2020-03-31,145859,757,16,6
Trinidad and Tobago,2020-04-30,470637,3315,229,723
Trinidad and Tobago,2020-05-31,807803,3598,248,3244
Trinidad and Tobago,2020-06-30,1299954,3629,240,3267
Trinidad and Tobago,2020-07-31,2035314,4310,248,3807
Trinidad and Tobago,2020-08-31,2750792,22008,363,6831
Trinidad and Tobago,2020-09-30,3344745,98238,1606,39913
Trinidad and Tobago,2020-10-31,4162528,161320,2927,110037
Trinidad and Tobago,2020-11-30,4715459,184145,3393,161317
Trinidad and Tobago,2020-12-31,5592896,214764,3820,193977
Trinidad and Tobago,2021-01-31,6326611,228015,4049,214380
Trinidad and Tobago,2021-02-28,6346074,214119,3840,205474
Trinidad and Tobago,2021-03-31,7725603,242510,4347,233765
Trinidad and Tobago,2021-04-30,8176365,267657,4554,237519
Trinidad and Tobago,2021-05-31,8558277,471486,8417,299715
Tunisia,2020-03-31,189429,2476,64,19
Tunisia,2020-04-30,470667,23056,940,2967
Tunisia,2020-05-31,807834,32212,1414,23160
Tunisia,2020-06-30,1299984,33677,1482,30002
Tunisia,2020-07-31,2035345,41174,1550,33990
Tunisia,2020-08-31,2750823,72295,1856,42163
Tunisia,2020-09-30,3344775,273502,4155,81961
Tunisia,2020-10-31,4162559,1173458,19777,155992
Tunisia,2020-11-30,4715489,2394119,70287,1504016
Tunisia,2020-12-31,5592927,3603614,123765,2723357
Tunisia,2021-01-31,6326642,5450840,175607,4013288
Tunisia,2021-02-28,6346102,6240176,210252,5105239
Tunisia,2021-03-31,7725634,7531509,261249,6474172
Tunisia,2021-04-30,8176395,8436921,289717,7032073
Tunisia,2021-05-31,8558306,9470241,340803,8258923
Turkey,2020-03-31,160711,58776,976,674
Turkey,2020-04-30,470697,2098207,49592,376670
Turkey,2020-05-31,807865,4521709,124363,3146528
Turkey,2020-06-30,1300014,5429570,145450,4558677
Turkey,2020-07-31,2035376,6712753,168344,6115032
Turkey,2020-08-31,2750854,7744882,185746,7145609
Turkey,2020-09-30,3344805,8864996,217574,7864646
Turkey,2020-10-31,4162590,10707361,285171,9353282
Turkey,2020-11-30,4715519,13199045,352112,10763120
Turkey,2020-12-31,5592958,51443548,534205,41776718
Turkey,2021-01-31,6326673,73376598,735748,69643786
Turkey,2021-02-28,6346130,72545924,768761,69313691
Turkey,2021-03-31,7725665,91423494,923917,85535598
Turkey,2021-04-30,8176425,123292520,1063823,108067693
Turkey,2021-05-31,8558335,147521573,1285376,140508834
UK,2020-01-31,500,2,0,0
UK,2020-02-29,46769,242,0,116
UK,2020-03-31,1218463,165482,9122,2025
UK,2020-04-30,5576148,3040975,398163,14880
UK,2020-05-31,9723977,7305930,1050746,32790
UK,2020-06-30,19457538,8940864,1256063,38818
UK,2020-07-31,32696972,9150130,1399546,43441
UK,2020-08-31,44146054,9928933,1368183,46765
UK,2020-09-30,53645000,11564506,1254542,62290
UK,2020-10-31,66733872,22002570,1358294,79916
UK,2020-11-30,75578488,40830975,1573977,95104
UK,2020-12-31,89623108,61365366,2042273,132440
UK,2021-01-31,101362548,102180395,2759728,242466
UK,2021-02-28,101660720,113211684,3272231,303091
UK,2021-03-31,123746420,132721966,3896724,376948
UK,2021-04-30,130954200,131952179,3822739,415975
UK,2021-05-31,137060380,129432185,3709653,440507
US,2020-01-31,9004,37,0,0
US,2020-02-29,629025,718,1,88
US,2020-03-31,11610866,1088640,18447,19364
US,2020-04-30,27448758,19534148,971766,1747977
US,2020-05-31,47088936,45256716,2706969,8720047
US,2020-06-30,75919866,65059848,3499386,17434302
US,2020-07-31,118610189,111580930,4307847,34028338
US,2020-08-31,160114959,166786671,5265411,56877502
US,2020-09-30,194545880,199653685,5887121,75486815
US,2020-10-31,241995815,252160215,6790817,99506279
US,2020-11-30,274056570,340017832,7501823,128470711
US,2020-12-31,324972101,528139775,9676987,81079533
US,2021-01-31,367527687,730894746,12443946,0
US,2021-02-28,368600008,774254261,13633706,0
US,2021-03-31,448669231,916643837,16649633,0
US,2021-04-30,474794580,944543693,16967994,0
US,2021-05-31,496926629,953529915,16981908,0
Uganda,2020-03-31,100503,211,0,0
Uganda,2020-04-30,470757,1797,0,633
Uganda,2020-05-31,807927,5937,0,1911
Uganda,2020-06-30,1300054,21150,0,11538
Uganda,2020-07-31,2035407,32169,15,29758
Uganda,2020-08-31,2750885,54950,467,36273
Uganda,2020-09-30,3344835,161746,1679,75136
Uganda,2020-10-31,4162621,320818,2919,199582
Uganda,2020-11-30,4715549,489403,4626,246797
Uganda,2020-12-31,5592989,882278,7046,314880
Uganda,2021-01-31,6326704,1179121,9420,409098
Uganda,2021-02-28,6346158,1120741,9233,405795
Uganda,2021-03-31,7725696,1258743,10360,619797
Uganda,2021-04-30,8176455,1239637,10151,1223890
Uganda,2021-05-31,8558364,1247706,10129,1227006
Ukraine,2020-03-31,193415,3064,89,40
Ukraine,2020-04-30,470787,137421,3615,9959
Ukraine,2020-05-31,807958,543592,15181,152874
Ukraine,2020-06-30,35354056,1011298,27975,455428
Ukraine,2020-07-31,55227928,1797522,45117,924628
Ukraine,2020-08-31,74549039,2952987,65862,1536279
Ukraine,2020-09-30,90576815,5019534,101902,2273640
Ukraine,2020-10-31,112666016,9292272,174947,3982035
Ukraine,2020-11-30,127590338,16972054,302110,7799140
Ukraine,2020-12-31,151292803,29178756,503232,17204358
Ukraine,2021-01-31,171103195,36713095,670535,27661047
Ukraine,2021-02-28,171601150,37009908,719876,32211961
Ukraine,2021-03-31,208875985,47885644,947071,39776672
Ukraine,2021-04-30,221037375,58596168,1214256,45476329
Ukraine,2021-05-31,231339815,63796837,1436619,54946275
United Arab Emirates,2020-01-31,1324,12,0,0
United Arab Emirates,2020-02-29,46699,268,0,64
United Arab Emirates,2020-03-31,197218,5515,32,838
United Arab Emirates,2020-04-30,470817,175824,1170,31296
United Arab Emirates,2020-05-31,807989,718686,6431,288124
United Arab Emirates,2020-06-30,1300084,1274693,8767,844036
United Arab Emirates,2020-07-31,2035438,1724036,10381,1452161
United Arab Emirates,2020-08-31,2750916,2009206,11311,1784347
United Arab Emirates,2020-09-30,3344865,2450597,12007,2152339
United Arab Emirates,2020-10-31,4162652,3511783,14167,3267599
United Arab Emirates,2020-11-30,4715579,4535051,16032,4310810
United Arab Emirates,2020-12-31,5593020,5847851,19321,5192097
United Arab Emirates,2021-01-31,6326735,7811891,23109,7010665
United Arab Emirates,2021-02-28,6346186,9796313,28821,9342700
United Arab Emirates,2021-03-31,7725727,13316657,43205,12774319
United Arab Emirates,2021-04-30,8176485,14769790,46329,14263070
United Arab Emirates,2021-05-31,8558393,15791082,47245,15215320
Uruguay,2020-03-31,145482,2703,3,41
Uruguay,2020-04-30,470847,14951,277,7534
Uruguay,2020-05-31,808020,22718,606,17353
Uruguay,2020-06-30,1300114,25962,726,23361
Uruguay,2020-07-31,2035469,32857,980,28141
Uruguay,2020-08-31,2750947,44615,1224,37229
Uruguay,2020-09-30,3344895,55050,1371,47202
Uruguay,2020-10-31,4162683,77922,1597,65274
Uruguay,2020-11-30,4715609,125784,2002,100833
Uruguay,2020-12-31,5593051,358979,3475,242149
Uruguay,2021-01-31,6326766,960688,9552,730662
Uruguay,2021-02-28,6346214,1383421,14997,1204812
Uruguay,2021-03-31,7725758,2381456,23342,1982760
Uruguay,2021-04-30,8176515,4664168,52940,3752012
Uruguay,2021-05-31,8558422,6960737,99519,6014079
Uzbekistan,2020-03-31,140142,1062,9,31
Uzbekistan,2020-04-30,470877,35053,144,9249
Uzbekistan,2020-05-31,808051,85596,363,66244
Uzbekistan,2020-06-30,1300144,168606,564,122006
Uzbekistan,2020-07-31,2035500,479255,2390,279354
Uzbekistan,2020-08-31,2750978,1068133,7209,886763
Uzbekistan,2020-09-30,3344925,1468909,12027,1372046
Uzbekistan,2020-10-31,4162714,1935712,16115,1841895
Uzbekistan,2020-11-30,4715639,2106636,17824,2023837
Uzbekistan,2020-12-31,5593082,2334877,18969,2253023
Uzbekistan,2021-01-31,6326797,2415594,19164,2366117
Uzbekistan,2021-02-28,6346242,2222824,17406,2180236
Uzbekistan,2021-03-31,7725789,2511079,19312,2464752
Uzbekistan,2021-04-30,8176545,2590272,19114,2513040
Uzbekistan,2021-05-31,8558451,2783963,19403,2657090
Vanuatu,2020-11-30,3372428,21,0,0
Vanuatu,2020-12-31,5593113,31,0,29
Vanuatu,2021-01-31,6326828,31,0,31
Vanuatu,2021-02-28,6346270,28,0,28
Vanuatu,2021-03-31,7725820,79,0,31
Vanuatu,2021-04-30,8176575,100,10,46
Vanuatu,2021-05-31,8558480,116,29,87
Vatican City,2020-03-31,16860,4,0,0
Venezuela,2020-03-31,145598,1296,11,262
Venezuela,2020-04-30,470907,6845,266,3023
Venezuela,2020-05-31,808082,22391,325,7210
Venezuela,2020-06-30,1300174,101886,880,25021
Venezuela,2020-07-31,2035531,349975,3248,157484
Venezuela,2020-08-31,2751009,1023744,8614,717048
Venezuela,2020-09-30,3344955,1870624,15250,1547216
Venezuela,2020-10-31,4162745,2638216,22387,2406772
Venezuela,2020-11-30,4715690,2924109,25533,2770887
Venezuela,2020-12-31,5593144,3361140,29981,3193915
Venezuela,2021-01-31,6326859,3711664,34183,3497217
Venezuela,2021-02-28,6346298,3732780,35772,3507989
Venezuela,2021-03-31,7725851,4592207,45211,4301143
Venezuela,2021-04-30,8176605,5402012,55989,4896247
Venezuela,2021-05-31,8558509,6219181,69131,5724316
Vietnam,2020-01-31,2492,18,0,0
Vietnam,2020-02-29,46621,398,0,214
Vietnam,2020-03-31,197763,2514,0,604
Vietnam,2020-04-30,470937,7778,0,5006
Vietnam,2020-05-31,808113,9465,0,7882
Vietnam,2020-06-30,1300204,10196,0,9611
Vietnam,2020-07-31,2035562,12278,3,11005
Vietnam,2020-08-31,2751040,28091,637,15414
Vietnam,2020-09-30,3344985,31897,1048,27319
Vietnam,2020-10-31,4162776,35048,1085,32150
Vietnam,2020-11-30,4715720,38113,1050,33476
Vietnam,2020-12-31,5593175,43541,1085,38988
Vietnam,2021-01-31,6326890,48059,1085,42994
Vietnam,2021-02-28,6346326,61812,980,44686
Vietnam,2021-03-31,7725882,78997,1085,65765
Vietnam,2021-04-30,8176635,82567,1050,73687
Vietnam,2021-05-31,8558538,125212,1112,77569
West Bank and Gaza,2020-03-31,59433,617,6,106
West Bank and Gaza,2020-04-30,470967,9840,61,1745
West Bank and Gaza,2020-05-31,808144,12240,71,8724
West Bank and Gaza,2020-06-30,1300234,25938,99,12527
West Bank and Gaza,2020-07-31,2035593,230938,1465,56636
West Bank and Gaza,2020-08-31,2751071,519581,3524,308105
West Bank and Gaza,2020-09-30,3345015,965368,6972,668084
West Bank and Gaza,2020-10-31,4162807,1445125,12450,1233228
West Bank and Gaza,2020-11-30,4715750,1983791,17527,1652646
West Bank and Gaza,2020-12-31,5593206,3560267,32756,2808269
West Bank and Gaza,2021-01-31,6326921,4668798,51826,4235190
West Bank and Gaza,2021-02-28,6346354,4737219,54177,4408354
West Bank and Gaza,2021-03-31,7725913,6630876,72142,5898926
West Bank and Gaza,2021-04-30,8176665,8237354,88650,7299216
West Bank and Gaza,2021-05-31,8558567,8791492,98652,8411360
Yemen,2020-04-30,360291,31,2,1
Yemen,2020-05-31,808175,4101,786,134
Yemen,2020-06-30,1300264,23264,5932,5661
Yemen,2020-07-31,2035624,46644,12932,21371
Yemen,2020-08-31,2751102,57598,16517,30997
Yemen,2020-09-30,3345045,60327,17436,36687
Yemen,2020-10-31,4162838,63654,18462,41489
Yemen,2020-11-30,4715780,62038,18078,41312
Yemen,2020-12-31,5593237,64649,18799,42906
Yemen,2021-01-31,6326952,65439,18984,43880
Yemen,2021-02-28,6346382,60549,17322,40047
Yemen,2021-03-31,7725944,96700,22561,46994
Yemen,2021-04-30,8176695,167368,32574,65602
Yemen,2021-05-31,8558596,189704,37228,89442
Zambia,2020-03-31,121842,194,0,0
Zambia,2020-04-30,471018,1754,62,800
Zambia,2020-05-31,808206,18622,188,8376
Zambia,2020-06-30,1300294,40038,372,32784
Zambia,2020-07-31,2035655,90582,2609,55223
Zambia,2020-08-31,2751133,290970,7617,253496
Zambia,2020-09-30,3345075,410862,9478,381094
Zambia,2020-10-31,4162869,486509,10616,460464
Zambia,2020-11-30,4715810,514878,10587,489788
Zambia,2020-12-31,5593268,579474,11513,547444
Zambia,2021-01-31,6326983,1112407,16955,878201
Zambia,2021-02-28,6346410,1923634,26461,1737994
Zambia,2021-03-31,7725975,2627072,35947,2515749
Zambia,2021-04-30,8176725,2711129,36985,2632790
Zambia,2021-05-31,8558625,2685828,36600,2631423
Zimbabwe,2020-03-31,107971,53,9,0
Zimbabwe,2020-04-30,471048,618,86,42
Zimbabwe,2020-05-31,808237,1871,124,470
Zimbabwe,2020-06-30,1300324,12096,142,2113
Zimbabwe,2020-07-31,2035686,48113,721,13001
Zimbabwe,2020-08-31,2751164,163293,4136,95065
Zimbabwe,2020-09-30,3345105,223571,6617,172489
Zimbabwe,2020-10-31,4162900,251343,7230,225416
Zimbabwe,2020-11-30,4715840,268984,7811,244771
Zimbabwe,2020-12-31,5593299,366341,9807,302327
Zimbabwe,2021-01-31,6327014,787416,23012,531530
Zimbabwe,2021-02-28,6346438,984049,38753,849842
Zimbabwe,2021-03-31,7726006,1132264,46556,1056857
Zimbabwe,2021-04-30,8176755,1126565,46375,1050250
Zimbabwe,2021-05-31,8558654,1118004,45855,1050714
occupied Palestinian territory,2020-03-31,39525,25,0,0
