Country,Deaths to 5/1/21,Deaths Ratio by population,Vaccine Type Count,Reported Full Vacs,full Vac by population,Code,2019 Population,2019 GDP,percapita
Greenland,0,0.0000000,1,7664,13.63094709,GRL,56225,0,0
Grenada,1,0.0008928,1,5775,5.15611189,GRD,112003,1210603704,10808.67212
Guatemala,7543,0.0454287,2,2535,0.015267382,GTM,16604026,76710355347,4619.985258
Guinea,144,0.0011275,1,66866,0.523566769,GIN,12771246,12296665331,962.8399086
Guinea-Bissau,67,0.0034879,,0,0,GNB,1920922,1339449165,697.2949266
Guyana,298,0.0380701,2,2800,0.357705879,GUY,782766,5173759528,6609.586426
Haiti,254,0.0022552,0,0,0,HTI,11263077,14332163266,1272.490925
Honduras,5318,0.0545653,2,5687,0.058351444,HND,9746117,25095395475,2574.912191
Hong Kong,210,0.0027972,2,824151,10.97784852,HKG,7507400,365712000000,48713.53598
Hungary,27701,0.2835327,5,2814805,28.8108464,HUN,9769949,163469000000,16731.81713
Iceland,29,0.0080263,4,73205,20.26082649,ISL,361313,24188038474,66944.83308
India,215542,0.0157742,2,41076994,3.006181227,IND,1366417754,2868930000000,2099.599476
Indonesia,45652,0.0168691,2,9276187,3.427683152,IDN,270625568,1119190000000,4135.566378
Iran,72090,0.0869456,4,350212,0.422380294,IRN,82913906,0,0
Iraq,15498,0.0394253,2,0,0,IRQ,39309783,234094000000,5955.107918
Ireland,4906,0.0992827,4,514808,10.41816926,IRL,4941444,388699000000,78661.01488
Isle of Man,29,0.0342854,2,18155,21.46387024,IMN,84584,0,0
Israel,6363,0.0702838,2,5106932,56.40961859,ISR,9053300,394652000000,43592.06035
Italy,121033,0.2007267,4,9241064,15.32580943,ITA,60297396,2003580000000,33228.30061
Jamaica,779,0.0264222,,0,0,JAM,2948279,16458071068,5582.263778
Japan,10281,0.0081424,1,2340313,1.853494063,JPN,126264931,5081770000000,40246.88375
Jordan,8871,0.0878170,2,385142,3.812647661,JOR,10101694,44502895862,4405.488412
Kazakhstan,3341,0.0180459,3,802090,4.332359472,KAZ,18513930,181666000000,9812.395315
Kenya,2744,0.0052193,2,0,0,KEN,52573973,95503088538,1816.546916
Kosovo,2134,0.1189356,1,0,0,XKX,1794248,7926133714,4417.524062
Kuwait,1569,0.0372942,1,38000,0.903238657,KWT,4207083,134629000000,32000.55716
Kyrgyzstan,1612,0.0249655,2,6010,0.093078722,KGZ,6456900,8454619608,1309.392992
Laos,0,0.0000000,2,88483,1.234166335,LAO,7169455,18173839147,2534.89828
Latvia,2139,0.1118262,4,142471,7.448338526,LVA,1912789,34102913582,17828.89466
Lebanon,7302,0.1065097,4,210156,3.065414203,LBN,6855713,51991634492,7583.694722
Lesotho,316,0.0148687,1,0,0,LSO,2125268,2376328637,1118.131284
Liberia,85,0.0017216,0,0,0,LBR,4937374,3070518100,621.8929536
Libya,3029,0.0446923,5,0,0,LBY,6777452,52091152228,7685.949266
Liechtenstein,57,0.1499250,2,5804,15.26605118,LIE,38019,0,0
Lithuania,3937,0.1412709,4,479639,17.2108306,LTU,2786844,54627411860,19601.89083
Luxembourg,796,0.1284086,3,87857,14.17286125,LUX,619896,71104919108,114704.5942
Madagascar,654,0.0024250,0,0,0,MDG,26969307,14114631281,523.3590645
Malawi,1148,0.0061625,1,0,0,MWI,18628747,7666704427,411.5523404
Malaysia,1521,0.0047606,3,890829,2.788216644,MYS,31949777,364681000000,11414.19547
Maldives,73,0.0137489,3,149435,28.14467571,MDV,530953,5642179170,10626.5134
Mali,485,0.0024672,1,13064,0.0664563,MLI,19658031,17279566719,879.0080105
Malta,415,0.0825619,4,152581,30.35513565,MLT,502653,14989415684,29820.60325
Marshall Islands,0,0.0000000,,0,0,MHL,58791,0,0
Mauritania,455,0.0100537,1,0,0,MRT,4525696,7600656944,1679.444873
Mauritius,17,0.0013431,3,8464,0.668715054,MUS,1265711,14048430519,11099.24028
Mexico,217168,0.1702270,5,11131624,8.725516631,MEX,127575529,1268870000000,9946.029697
Micronesia,0,0.0000000,,0,0,FSM,113815,0,0
Moldova,5826,0.2192173,4,35469,1.334606645,MDA,2657637,11968713370,4503.516985
Monaco,32,0.0821271,1,12975,33.2999692,MCO,38964,0,0
Mongolia,115,0.0035657,4,685189,21.24507041,MNG,3225167,13996719329,4339.843279
Montenegro,1502,0.2414259,4,34758,5.586872345,MNE,622137,5542577965,8908.934792
Morocco,9026,0.0247479,2,4673903,12.81512558,MAR,36471769,119700000000,3281.990517
Mozambique,814,0.0026806,2,74557,0.245527602,MOZ,30366036,15291448212,503.5707727
Namibia,643,0.0257764,2,3780,0.151531551,NAM,2494530,12366528259,4957.458222
Nepal,3298,0.0115280,2,426510,1.490839678,NPL,28608710,30641380604,1071.050761
Netherlands,17185,0.0991470,4,1989047,11.47559115,NLD,17332850,907051000000,52331.32462
New Zealand,26,0.0005288,1,152933,3.110290828,NZL,4917000,206929000000,42084.40106
Nicaragua,182,0.0027805,2,0,0,NIC,6545502,12520915291,1912.903745
Niger,191,0.0008194,2,6514,0.027944231,NER,23310715,12911689659,553.8950504
Nigeria,2063,0.0010266,1,0,0,NGA,200963599,448120000000,2229.856562
North Macedonia,4891,0.2347538,4,33831,1.623790053,MKD,2083459,12547040499,6022.216179
Norway,756,0.0141364,2,611661,11.43741389,NOR,5347896,403336000000,75419.56687
Oman,2010,0.0404021,2,73269,1.472747863,OMN,4974986,76331518669,15343.062
Pakistan,18070,0.0083439,4,964227,0.445236111,PAK,216565318,278222000000,1284.702475
Panama,6235,0.1468289,2,292685,6.892480971,PAN,4246439,66800800000,15731.01603
Papua New Guinea,115,0.0013104,2,0,0,PNG,8776109,24829107011,2829.170309
Paraguay,6476,0.0919281,1,33815,0.480010607,PRY,7044636,38145288940,5414.799138
Peru,61477,0.1890992,3,818181,2.516670561,PER,32510453,226848000000,6977.69422
Philippines,17354,0.0160512,4,786528,0.727481155,PHL,108116615,376796000000,3485.088763
Poland,67924,0.1788845,4,4794334,12.62634618,POL,37970874,595858000000,15692.50157
Portugal,16976,0.1653064,3,1451138,14.13067558,PRT,10269417,238785000000,23252.05024
Qatar,465,0.0164191,1,910547,32.15132269,QAT,2832067,175838000000,62088.22037
Romania,28194,0.1456562,4,2972379,15.35593854,ROU,19356544,250077000000,12919.50671
Russia,108675,0.0752735,2,10144832,7.026794765,RUS,144373535,1699880000000,11774.18008
Rwanda,335,0.0026531,3,0,0,RWA,12626950,10354417725,820.0252416
Saint Kitts and Nevis,0,0.0000000,1,4107,7.775022244,KNA,52823,1053244444,19939.12584
Saint Lucia,74,0.0404836,1,17301,9.46495979,LCA,182790,2122450630,11611.41545
Saint Vincent and the Grenadines,11,0.0099467,1,0,0,VCT,110589,824718519,7457.509504
Samoa,0,0.0000000,0,0,0,WSM,197097,852250191,4324.014018
San Marino,90,0.2658004,2,18595,54.91730656,SMR,33860,0,0
Sao Tome and Principe,35,0.0162748,1,0,0,STP,215056,418637389,1946.643614
Saudi Arabia,6968,0.0203335,2,0,0,SAU,34268528,792967000000,23139.80338
Senegal,1109,0.0068052,1,0,0,SEN,16296364,23578084052,1446.830965
Serbia,6386,0.0919514,4,1845829,26.57790705,SRB,6944975,51475016532,7411.836116
Seychelles,28,0.0286812,2,61631,63.13034571,SYC,97625,1703387387,17448.27029
Sierra Leone,79,0.0010111,1,6716,0.085956933,SLE,7813215,4121733705,527.5336344
Singapore,31,0.0005435,2,1440544,25.2568874,SGP,5703569,372063000000,65233.36528
Sint Maarten,27,0.0662853,,10817,26.5558638,SXM,40733,0,0
Slovakia,11732,0.2151053,1,705034,12.926743,SVK,5454073,105080000000,19266.33545
Slovenia,4258,0.2039325,2,306256,14.66781229,SVN,2087946,54174227309,25946.18219
Solomon Islands,0,0.0000000,1,3479,0.519390944,SLB,669823,1589913622,2373.63247
Somalia,713,0.0046170,3,0,0,SOM,15442905,4942319041,320.038169
South Africa,54406,0.0929092,1,558170,0.953187312,ZAF,58558270,351432000000,6001.406804
South Korea,1833,0.0035448,2,1273210,2.462255288,KOR,51709098,1646740000000,31846.23333
South Sudan,115,0.0010396,1,0,0,SSD,11062113,0,0
Spain,78216,0.1661456,4,7469173,15.86593824,ESP,47076781,1393490000000,29600.36711
Sri Lanka,687,0.0031509,2,300121,1.376512407,LKA,21803000,84008783756,3853.083693
St. Martin (French part),12,0.0315773,,0,0,MAF,38002,0,0
Sudan,2349,0.0054866,4,85662,0.200082974,SDN,42813238,30513456085,712.7107762
Suriname,204,0.0350894,1,2525,0.434317442,SUR,581372,3697371950,6359.735161
Sweden,14048,0.1365812,2,1032637,10.03978143,SWE,10285453,530884000000,51615.03339
Switzerland,10633,0.1240024,2,1236827,14.42392108,CHE,8574832,703082000000,81993.67638
Syria,1598,0.0093614,0,0,0,SYR,17070135,0,0
Tajikistan,90,0.0009656,0,0,0,TJK,9321018,8116626794,870.7875893
