Country,State,Latitude,Longitude,Deaths to 5/1/21
Samoa,,-13.759,-172.1046,0
San Marino,,43.9424,12.4578,90
Sao Tome and Principe,,0.1864,6.6131,35
Saudi Arabia,,23.885942,45.079162,6968
Senegal,,14.4974,-14.4524,1109
Serbia,,44.0165,21.0059,6386
Seychelles,,-4.6796,55.492,28
Sierra Leone,,8.460555000000001,-11.779889,79
Singapore,,1.2833,103.8333,31
Slovakia,,48.669,19.699,11732
Slovenia,,46.1512,14.9955,4258
Solomon Islands,,-9.6457,160.1562,0
Somalia,,5.152149,46.199616,713
South Africa,,-30.5595,22.9375,54406
South Sudan,,6.877000000000001,31.307,115
Spain,,40.463667,-3.7492199999999998,78216
Sri Lanka,,7.873054,80.77179699999999,687
Sudan,,12.8628,30.2176,2349
Suriname,,3.9193,-56.0278,204
Sweden,,60.128161,18.643501,14048
Switzerland,,46.8182,8.2275,10633
Syria,,34.802075,38.996815000000005,1598
Taiwan*,,23.7,121.0,12
Tajikistan,,38.861,71.2761,90
Tanzania,,-6.369028,34.888822,21
Thailand,,15.870032,100.992541,224
Timor-Leste,,-8.874217,125.727539,3
Togo,,8.6195,0.8248,123
Trinidad and Tobago,,10.6918,-61.2225,171
Tunisia,,33.886917,9.537499,10808
Turkey,,38.9637,35.2433,40504
US,,40.0,-100.0,576722
Uganda,,1.373333,32.290275,342
Ukraine,,48.3794,31.1656,46281
United Arab Emirates,,23.424076,53.847818000000004,1591
Bermuda,Bermuda,32.3078,-64.7505,28
Cayman Islands,Cayman Islands,19.3133,-81.2546,2
Gibraltar,Gibraltar,36.1408,-5.3536,94
Isle of Man,Isle of Man,54.2361,-4.5481,29
Turks and Caicos Islands,Turks and Caicos Islands,21.694000000000003,-71.7979,17
United Kingdom,,55.3781,-3.4360000000000004,127612
Uruguay,,-32.5228,-55.7658,2669
Uzbekistan,,41.377491,64.585262,650
Vanuatu,,-15.3767,166.9592,1
Venezuela,,6.4238,-66.5897,2155
Vietnam,,14.058323999999999,108.277199,35
West Bank and Gaza,,31.9522,35.2332,3249
Yemen,,15.552726999999999,48.516388,1229
Zambia,,-13.133897,27.849332,1251
Zimbabwe,,-19.015438,29.154857,1568
